url,label
http://www.currysleather.com/,0
http://www.mcfc.co.uk/,0
https://whatsapp.blazagency.com/99e665748bd5bf84e697ae5e154f1baa/,1
https://pwcs-co.cf/?login=do,1
https://messagerie-llebon-coins.com/,1
http://www.mclink.it/assoc/isp/fineng.html,0
https://nervousstudentllama.tumblr.com/ARU?id=/Amail3bef69ff484881f9d588a4d4a3026b61Asmail,1
http://royalmail.reschedule-missed-parcel.com/,1
http://www.britishtea.com/,0
http://www.mon-photo.com/,0
http://monthly-o2-paymentsupport.com/,1
https://oqskjhpgpczegrzqtsfuvyxcul-dot-gle39404049.rj.r.appspot.com/,1
http://www.pencildude.com/,0
https://greennepal.org/Tax%20Returns%20review/index.php?mail=foo@example.com,1
http://rni.nic.in/,0
https://httpsloginorangefr60.yolasite.com/,1
https://www.o2.solution-verify.com/Login/index?id=e2ab64dd2fe207eb602a612482b3c06ee2ab64dd2fe207eb602a612482b3c06e&amp;session=e2ab64dd2fe207eb602a612482b3c06ee2ab64dd2fe207eb602a612482b3c06e,1
http://www.instagram.vintweb.ir/login.html,1
http://www.soccerbase.com/teams/team.sd?team_id=1724,0
http://www.plantlife.net/,0
http://www.isis.org/,0
http://savoyfoods.com/,0
http://www.perlier.com/,0
https://aagiineqxbcmnkdnceowacqnpi-dot-gle39404049.rj.r.appspot.com/#andy.coles@aviva.com,1
https://myaib-account.com/Login.php,1
https://plpg.com.au/access/wells/wells.htm,1
http://www.bmsbusinesscentre.com/,0
http://www.woodenwinebox.co.uk/,0
http://www.gameconfig.co.uk/,0
http://www.americanlibraryinparis.org/,0
http://www.bruceclay.com/searchenginechart.pdf,0
http://www.careersbychoice.com/,0
http://arxiv.org/,0
http://www.soygold.com/,0
http://lockhartchisholmtrailbbq.com/,0
http://dbs.vote-friend.com/sg?ref=anything,1
http://aromatic.webenliven.in/wp-admin/css/trust/sun/cd.php?_christophin=login_submit&id=,1
http://agnix.sourceforge.net/,0
http://www.mercedes-benz.com/,0
http://royalmail.redeliver-missed-parcel.com/,1
http://www.marltoncoffee.com/,0
http://www.hsbc.authorise-prevent.com/Login.php,1
http://instagram-x.ru/login,1
http://www.nhm-wien.ac.at/,0
https://fwcfmuzsowlibaupgfvxgajamk-dot-gle39404049.rj.r.appspot.com/,1
http://mail.tsay017.c0dashop.com/,1
http://www.settlersindia.com/,0
http://www.rosettis.com/,0
http://www.kungfu.cc/kf_list.shtml,0
http://www.gbslinens.com/,0
http://www.abcfeelings.com/,0
https://sqairqessehilunlzweccacaih-dot-gle39404049.rj.r.appspot.com/,1
https://itkrduskavqysizkizuahecmau-dot-gle39404049.rj.r.appspot.com/,1
https://jcb-co-jp-iss-mobile-open-ewsb.top/?page=login,1
https://dierct-cuenta-online.com/A/r4/index.php,1
http://in.jobsdb.com/IN,0
